ekicode,groupcode,name,noriire,ido,keido
2200401,2200106,練馬,12,139.654368,35.737893
2200402,2200402,豊島園,3,139.647979,35.742054
2200601,2200601,多摩湖,1,139.442747,35.765881
2200701,2200701,西武新宿,1,139.7,35.696254
2200702,1130210,高田馬場,6,139.703715,35.712677
2200703,2200703,下落合,2,139.695391,35.715846
2200704,2200704,中井,4,139.686967,35.715106
2200705,2200705,新井薬師前,2,139.672582,35.715778
2200706,2200706,沼袋,2,139.663841,35.719458
2200707,2200707,野方,2,139.652733,35.719658
2200708,2200708,都立家政,2,139.644839,35.722313
2200709,2200709,鷺ノ宮,2,139.63892,35.722605
2200710,2200710,下井草,2,139.624688,35.723852
2200711,2200711,井荻,2,139.615303,35.72469
2200712,2200712,上井草,2,139.602937,35.725326
2200713,2200713,上石神井,2,139.592266,35.726189
2200714,2200714,武蔵関,2,139.576417,35.7276
2200715,2200715,東伏見,2,139.563529,35.728761
2200716,2200716,西武柳沢,2,139.552477,35.728621
2200717,2200717,田無,2,139.539259,35.727307
2200718,2200718,花小金井,2,139.513228,35.726129
2200719,2200719,小平,5,139.488491,35.736963
2200720,2200720,久米川,2,139.472653,35.749575
2200721,2200721,東村山,3,139.465839,35.76006
2200801,2200719,小平,5,139.488491,35.736963
2200802,2200802,萩山,4,139.476903,35.740759
2200803,2200803,小川,6,139.463493,35.737573
2200804,2200804,東大和市,2,139.434249,35.732829
2200805,2200805,玉川上水,4,139.418435,35.731751
2200806,2200806,武蔵砂川,2,139.392319,35.728876
2200807,2200807,西武立川,2,139.370124,35.7262
2200808,1131506,拝島,6,139.343468,35.721278
2200901,2200721,東村山,3,139.465839,35.76006
2200902,2200902,西武園,1,139.448904,35.767684
2201001,1131106,国分寺,11,139.480841,35.700123
2201002,2201002,恋ヶ窪,2,139.463944,35.711385
2201003,2201003,鷹の台,2,139.461155,35.723097
2201004,2200803,小川,6,139.463493,35.737573
2201005,2200721,東村山,3,139.465839,35.76006
2201101,1131106,国分寺,11,139.479547,35.700836
2201102,2201102,一橋学園,2,139.480039,35.72217
2201103,2201103,青梅街道,2,139.476628,35.73098
2201105,2200802,萩山,4,139.476903,35.740759
2201106,2201106,八坂,2,139.467676,35.744925
2201107,2201107,武蔵大和,2,139.444008,35.756427
2201108,2200601,多摩湖,1,139.442747,35.765881
2201201,1131221,武蔵境,3,139.543402,35.702083
2201202,2201202,新小金井,2,139.526603,35.695908
2201203,2201203,多磨,4,139.51713,35.676821
2201204,2201204,白糸台,2,139.509862,35.666517
2201205,2201205,競艇場前,2,139.499721,35.656232
2201206,2201206,是政,1,139.488592,35.656242
2300101,2300101,京成上野,2,139.773571,35.711232
2300102,1130218,日暮里,16,139.771287,35.727908
2300103,2300103,新三河島,2,139.773834,35.73714
2300104,2300104,町屋,7,139.781499,35.742354
2300105,2300105,千住大橋,2,139.796934,35.74243
2300106,2100208,京成関屋,2,139.81183,35.744008
2300107,2300107,堀切菖蒲園,2,139.827545,35.747649
2300108,2300108,お花茶屋,2,139.83988,35.747585
2300109,2300109,青砥,6,139.856292,35.745883
2300110,2300110,京成高砂,6,139.866875,35.750932
2300111,2300111,京成小岩,2,139.88371,35.742158
2300112,2300112,江戸川,3,139.896226,35.737723
2300201,2100203,押上（スカイツリー前）,2,139.812935,35.710702
2300202,2300202,京成曳舟,2,139.820012,35.718441
2300203,2300203,八広,2,139.828738,35.727687
2300204,2300204,四ツ木,2,139.834918,35.731962
2300205,2300205,京成立石,2,139.848558,35.738281
2300206,2300109,青砥,6,139.856292,35.745883
2300207,2300110,京成高砂,6,139.866875,35.750932
2300301,2300110,京成高砂,6,139.866875,35.750932
2300302,2300302,柴又,3,139.875188,35.756323
2300303,1132008,京成金町,1,139.870387,35.768471
2300601,2300101,京成上野,2,139.773571,35.711232
2300602,1130218,日暮里,16,139.771287,35.727908
2300603,2300109,青砥,6,139.856292,35.745883
2300604,2300110,京成高砂,6,139.866875,35.750932
2400101,1130208,新宿,37,139.699187,35.690163
2400104,2400104,笹塚,3,139.667251,35.673758
2400105,2400105,代田橋,2,139.659413,35.671092
2400106,2400106,明大前,4,139.650352,35.668758
2400107,2400107,下高井戸,3,139.641372,35.66615
2400108,2400108,桜上水,2,139.63129,35.66768
2400109,2400109,上北沢,2,139.62329,35.668857
2400110,2400110,八幡山,2,139.614927,35.669982
2400111,2400111,芦花公園,2,139.608247,35.670479
2400112,2400112,千歳烏山,2,139.60067,35.667921
2400113,2400113,仙川,2,139.584908,35.662257
2400114,2400114,つつじヶ丘,2,139.575103,35.657936
2400115,2400115,柴崎,4,139.56658,35.653997
2400116,2400116,国領,2,139.558036,35.650087
2400117,2400117,布田,2,139.551557,35.649904
2400118,2400118,調布,8,139.543988,35.652181
2400119,2400119,西調布,2,139.529822,35.657169
