station_cd1,station_cd2,Lline_cd
1121634,1121635,L11216
1121636,1121624,L11216
1121701,1121702,L11217
1121702,1121703,L11217
1121703,1121704,L11217
1121704,1121722,L11217
1121705,1121706,L11217
1121706,1121707,L11217
1121707,1121708,L11217
1121708,1121709,L11217
1121709,1121710,L11217
1121710,1121712,L11217
1121712,1121714,L11217
1121714,1121715,L11217
1121715,1121716,L11217
1121716,1121717,L11217
1121717,1121718,L11217
1121718,1121719,L11217
1121719,1121720,L11217
1121720,1121721,L11217
1121722,1121705,L11217
1121801,1121802,L11218
1121802,1121803,L11218
1121803,1121804,L11218
1121804,1121805,L11218
1121805,1121806,L11218
1121806,1121807,L11218
1121807,1121808,L11218
1121808,1121809,L11218
1121809,1121810,L11218
1121810,1121811,L11218
1121811,1121812,L11218
1121901,1121902,L11219
1121902,1121903,L11219
1121903,1121904,L11219
1121904,1121905,L11219
1121905,1121906,L11219
1121906,1121907,L11219
1121907,1121908,L11219
1121908,1121909,L11219
1121909,1121910,L11219
1121910,1121911,L11219
1121911,1121912,L11219
1121912,1121913,L11219
1121913,1121914,L11219
1121914,1121915,L11219
1121915,1121916,L11219
1121916,1121917,L11219
1121917,1121918,L11219
1121918,1121919,L11219
1121919,1121920,L11219
1122001,1122002,L11220
1122002,1122003,L11220
1122003,1122004,L11220
1122004,1122005,L11220
1122005,1122006,L11220
1122006,1122007,L11220
1122007,1122008,L11220
1122008,1122009,L11220
1122009,1122010,L11220
1122101,1122102,L11221
1122102,1122103,L11221
1122103,1122104,L11221
1122104,1122105,L11221
1122105,1122106,L11221
1122106,1122107,L11221
1122107,1122108,L11221
1122108,1122109,L11221
1122109,1122110,L11221
1122110,1122111,L11221
1122111,1122112,L11221
1122112,1122113,L11221
1122113,1122114,L11221
1122114,1122115,L11221
1122115,1122116,L11221
1122116,1122117,L11221
1122117,1122118,L11221
1122118,1122119,L11221
1122119,1122120,L11221
1122120,1122121,L11221
1122121,1122122,L11221
1122122,1122123,L11221
1122123,1122124,L11221
1122124,1122125,L11221
1122125,1122126,L11221
1122126,1122127,L11221
1122201,1122202,L11222
1122202,1122203,L11222
1122203,1122204,L11222
1122204,1122205,L11222
1122205,1122206,L11222
1122206,1122207,L11222
1122207,1122208,L11222
1122208,1122209,L11222
1122209,1122210,L11222
1122210,1122211,L11222
1122211,1122212,L11222
1122212,1122213,L11222
1122213,1122214,L11222
1122214,1122215,L11222
1122215,1122216,L11222
1122216,1122217,L11222
1122217,1122218,L11222
1122218,1122219,L11222
1122219,1122220,L11222
1122220,1122221,L11222
1122221,1122222,L11222
1122222,1122223,L11222
1122223,1122224,L11222
1122224,1122225,L11222
1122225,1122226,L11222
1122226,1122227,L11222
1122227,1122228,L11222
1122228,1122232,L11222
1122229,1122230,L11222
1122230,1122231,L11222
1122232,1122229,L11222
1122301,1122302,L11223
1122302,1122303,L11223
1122303,1122304,L11223
1122304,1122305,L11223
1122305,1122306,L11223
1122306,1122307,L11223
1122307,1122308,L11223
1122308,1122309,L11223
1122309,1122310,L11223
1122310,1122311,L11223
1122311,1122312,L11223
1122312,1122313,L11223
1122313,1122314,L11223
1122401,1122402,L11224
1122402,1122403,L11224
1122403,1122404,L11224
1122404,1122405,L11224
1122405,1122406,L11224
1122501,1122516,L11225
1122502,1122503,L11225
1122503,1122504,L11225
1122504,1122505,L11225
1122505,1122506,L11225
1122506,1122507,L11225
1122507,1122508,L11225
1122508,1122509,L11225
1122509,1122510,L11225
1122510,1122511,L11225
1122511,1122512,L11225
1122512,1122513,L11225
1122513,1122514,L11225
1122514,1122515,L11225
1122516,1122502,L11225
1122601,1122602,L11226
1122602,1122603,L11226
1122603,1122604,L11226
1122604,1122605,L11226
1122605,1122606,L11226
1122606,1122607,L11226
1122607,1122608,L11226
1122608,1122609,L11226
1122609,1122610,L11226
1122610,1122611,L11226
1122611,1122612,L11226
1122612,1122613,L11226
1122613,1122614,L11226
1122614,1122615,L11226
1122615,1122616,L11226
1122616,1122617,L11226
1122617,1122618,L11226
1122618,1122619,L11226
1122619,1122620,L11226
1122620,1122621,L11226
1122621,1122622,L11226
1122622,1122623,L11226
1122623,1122624,L11226
1122624,1122625,L11226
1122625,1122626,L11226
1122626,1122627,L11226
1122627,1122628,L11226
1122701,1122702,L11227
1122702,1122703,L11227
1122703,1122704,L11227
1122704,1122705,L11227
1122705,1122706,L11227
1122706,1122707,L11227
1122707,1122708,L11227
1122708,1122709,L11227
1122709,1122710,L11227
1122710,1122711,L11227
1122711,1122712,L11227
1122712,1122713,L11227
1122713,1122714,L11227
1122714,1122715,L11227
1122715,1122716,L11227
1122716,1122717,L11227
1122717,1122718,L11227
1122718,1122719,L11227
1122719,1122720,L11227
1122720,1122721,L11227
1122721,1122722,L11227
1122722,1122723,L11227
1122723,1122724,L11227
1122724,1122725,L11227
1122725,1122726,L11227
1122726,1122727,L11227
1122727,1122728,L11227
1122728,1122730,L11227
1122730,1122731,L11227
1122731,1122732,L11227
1122732,1122733,L11227
1122733,1122734,L11227
1122734,1122735,L11227
1122735,1122736,L11227
1122736,1122737,L11227
1122737,1122738,L11227
1122801,1122802,L11228
1122802,1122803,L11228
1122803,1122804,L11228
1122804,1122805,L11228
1122805,1122806,L11228
1122806,1122807,L11228
1122807,1122808,L11228
1122808,1122809,L11228
1122809,1122810,L11228
1122810,1122811,L11228
1122811,1122812,L11228
1122812,1122813,L11228
1122813,1122814,L11228
1122814,1122815,L11228
1122815,1122816,L11228
1122901,1122902,L11229
1122902,1122903,L11229
1122903,1122904,L11229
1122904,1122905,L11229
1122905,1122906,L11229
1122906,1122907,L11229
1122907,1122908,L11229
1122908,1122909,L11229
1122909,1122910,L11229
1122910,1122911,L11229
1122911,1122912,L11229
1122912,1122913,L11229
1122913,1122914,L11229
1122914,1122915,L11229
1122915,1122916,L11229
1122916,1122917,L11229
1122917,1122918,L11229
1122918,1122919,L11229
1122919,1122920,L11229
1122920,1122921,L11229
1122921,1122922,L11229
1122922,1122923,L11229
1122923,1122924,L11229
1122924,1122925,L11229
1122925,1122926,L11229
1122926,1122927,L11229
1122927,1122928,L11229
1122928,1122929,L11229
1122929,1122930,L11229
1122930,1122931,L11229
1122931,1122932,L11229
1122932,1122933,L11229
1122933,1122934,L11229
1122934,1122935,L11229
1123001,1123002,L11230
1123002,1123003,L11230
1123003,1123004,L11230
1123004,1123005,L11230
1123005,1123006,L11230
